Hours,ng_ccs_WECC,nuclear_WECC,wind_WECC,solar_WECC,ng_ccs_ERCOT,nuclear_ERCOT,solar_ERCOT,wind_ERCOT
4747,1,1,0.139,0.241333333,1,1,0.0512,0.7056
4748,1,1,0.182,0.058333333,1,1,0.0008,0.7716
4749,1,1,0.279,0,1,1,0,0.814
4750,1,1,0.439,0,1,1,0,0.8206
4751,1,1,0.746,0,1,1,0,0.8106
4752,1,1,0.599,0,1,1,0,0.808
4753,1,1,0.383,0,1,1,0,0.802
4754,1,1,0.374,0,1,1,0,0.7796
4755,1,1,0.439,0,1,1,0,0.7392
4756,1,1,0.318,0,1,1,0,0.6906
4757,1,1,0.291,0,1,1,0,0.658
4758,1,1,0.192,0.066333333,1,1,0.0008,0.6418
4759,1,1,0.125,0.307666667,1,1,0.0552,0.6072
4760,1,1,0.04,0.455666667,1,1,0.1836,0.7548
4761,1,1,0.023,0.558,1,1,0.3338,0.8116
4762,1,1,0.042,0.601,1,1,0.4624,0.7918
4763,1,1,0.034,0.627333333,1,1,0.5528,0.7782
4764,1,1,0.071,0.644666667,1,1,0.6016,0.777
4765,1,1,0.083,0.626,1,1,0.6116,0.7762
4766,1,1,0.098,0.609666667,1,1,0.5836,0.774
4767,1,1,0.172,0.586,1,1,0.5232,0.7732
4768,1,1,0.214,0.550333333,1,1,0.4336,0.7782
4769,1,1,0.278,0.489666667,1,1,0.3136,0.7892
4770,1,1,0.179,0.398,1,1,0.1744,0.803
4771,1,1,0.181,0.202333333,1,1,0.0514,0.8136
4772,1,1,0.247,0.040333333,1,1,0.0008,0.8434
4773,1,1,0.46,0,1,1,0,0.8578
4774,1,1,0.862,0,1,1,0,0.824
4775,1,1,0.722,0,1,1,0,0.7934
4776,1,1,0.735,0,1,1,0,0.773
4777,1,1,0.653,0,1,1,0,0.7526
4778,1,1,0.492,0,1,1,0,0.7278
4779,1,1,0.426,0,1,1,0,0.6898
4780,1,1,0.259,0,1,1,0,0.6204
4781,1,1,0.162,0,1,1,0,0.5138
4782,1,1,0.14,0.070333333,1,1,0.0006,0.3876
4783,1,1,0.147,0.233,1,1,0.0488,0.3048
4784,1,1,0.082,0.381666667,1,1,0.1572,0.4078
4785,1,1,0.099,0.464666667,1,1,0.2888,0.511
4786,1,1,0.086,0.515,1,1,0.405,0.408
4787,1,1,0.051,0.557,1,1,0.4918,0.2882
4788,1,1,0.072,0.574666667,1,1,0.5436,0.254
4789,1,1,0.103,0.572333333,1,1,0.5588,0.2752
4790,1,1,0.096,0.559,1,1,0.5316,0.3234
4791,1,1,0.195,0.486333333,1,1,0.4616,0.3894
4792,1,1,0.161,0.435666667,1,1,0.3676,0.4652
4793,1,1,0.151,0.367333333,1,1,0.2552,0.5354
4794,1,1,0.161,0.258666667,1,1,0.142,0.5978
4795,1,1,0.444,0.122,1,1,0.043,0.6446
4796,1,1,0.648,0.027333333,1,1,0.0008,0.6704
4797,1,1,0.719,0,1,1,0,0.6684
4798,1,1,0.499,0,1,1,0,0.6696
4799,1,1,0.52,0,1,1,0,0.6236
4800,1,1,0.397,0,1,1,0,0.5618
4801,1,1,0.241,0,1,1,0,0.4912
4802,1,1,0.164,0,1,1,0,0.4376
4803,1,1,0.136,0,1,1,0,0.4214
4804,1,1,0.107,0,1,1,0,0.4238
4805,1,1,0.091,0,1,1,0,0.4316
4806,1,1,0.076,0.023,1,1,0.0006,0.3622
4807,1,1,0.09,0.19,1,1,0.0536,0.2416
4808,1,1,0.047,0.329333333,1,1,0.1686,0.3724
4809,1,1,0.036,0.448333333,1,1,0.2926,0.3756
4810,1,1,0.05,0.505,1,1,0.3992,0.2592
4811,1,1,0.05,0.54,1,1,0.473,0.177
4812,1,1,0.08,0.56,1,1,0.5026,0.1724
4813,1,1,0.084,0.569333333,1,1,0.5104,0.1998
4814,1,1,0.097,0.53,1,1,0.4916,0.2388
4815,1,1,0.101,0.528666667,1,1,0.4378,0.2834
4816,1,1,0.099,0.502,1,1,0.3514,0.3332
4817,1,1,0.085,0.437,1,1,0.2412,0.4014
4818,1,1,0.082,0.329666667,1,1,0.1346,0.4864
