Hour,WECC_Load_MWh,ERCOT_Load_MWh_2050
1260,183331,86930.7
1261,186064,88534.3
1262,187206,90381.1
1263,191719,89110
1264,205150,87595.7
1265,223291,85501.9
1266,234179,82038.2
1267,213253,78357.9
1268,184436,76471.2
1269,167631,75143.1
1270,150317,73849.2
1271,135808,73074
1272,131322,73676.3
1273,132680,76807.5
1274,130962,78819.6
1275,129787,78392.1
1276,132077,77413.6
1277,139101,78661.9
1278,157182,79224.3
1279,179595,80079.3
1280,189663,80981.8
1281,186739,83626.6
1282,181738,86552.6
1283,184466,89987.8
1284,189525,94027.2
1285,192301,94528.8
1286,193273,94279.9
1287,198770,92579.4
1288,212284,89634.4
1289,234147,85747
1290,244116,82197.8
1291,221855,78234.4
1292,188856,74556
1293,175793,72631.3
1294,159031,71213.9
1295,142233,70391.2
1296,128356,70070.1
1297,130923,71546.4
1298,131188,74890.4
1299,129574,77316.7
1300,131599,77504.8
1301,138688,78131.8
1302,156937,78584
1303,178657,78694.2
1304,188866,78409.2
1305,185743,79942.5
1306,180239,81416.9
1307,183161,83221.9
1308,187342,85682.4
1309,190059,88163.8
1310,190675,89841.5
1311,192850,88825
1312,206595,87267
1313,225460,84950.9
1314,235657,81532.8
1315,213757,77958.9
1316,179307,74347
1317,164764,72581.9
1318,143914,71231
1319,130787,70383.6
1320,130021,70300
1321,138568,71421
1322,134686,77867.7
1323,133858,81213.6
1324,132613,84042.7
1325,134642,84597.5
1326,141599,85346.1
1327,149504,85832.5
1328,155358,85944.6
1329,163852,87924.4
1330,173061,89959.3
1331,181355,92207
1332,190189,95342
1333,197118,97559.3
1334,196110,98146.4
1335,189007,97202.1
1336,189484,94910.7
1337,194306,90751.6
1338,198456,85524.7
1339,215353,81861.5
1340,209593,76790.4
1341,194027,75393.9
1342,175396,73953.7
1343,156872,73431.2
1344,137282,74139.9
1345,134092,80218
1346,132456,83696.9
1347,131678,86172.6
1348,130963,85885.7
1349,131511,87901.6
1350,136241,89662.9
1351,143103,90882.7
1352,149978,92683.9
1353,159711,96103.9
1354,168881,99734.8
1355,175965,103607
1356,184306,107427.9
1357,191378,106829.4
1358,191450,107382.3
1359,186620,105239.1
1360,187602,99736.7
1361,196454,93377.4
1362,202464,89349.4
1363,218607,84626
1364,214960,81593.6
1365,199903,79629
1366,179398,77753.7
1367,158841,76587.1
1368,140266,76547.2
1369,125594,82361.2
1370,126133,85207.4
1371,125730,87263.2
